year,total,juvenile
2017定,1268985,32778
2016定,1219569,35743
2015定,1231656,43839
2014定,1183784,50415
2013定,1157784,55817
2012定,1173406,63782
2011定,1050747,67280
2010定,1006420,68193
2009定,996666,77604
