数据库：年度数据
时间：最近10年
指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
刑事罪犯总数(人),1268985,1219569,1231656,1183784,1157784,1173406,1050747,1006420,996666
青少年刑事罪犯数(人),183471,204657,236341,249576,265439,282990,282429,287978,302023
不满18岁青少年刑事罪犯数(人),32778,35743,43839,50415,55817,63782,67280,68193,77604
18岁至25岁青少年刑事罪犯数(人),150693,168914,192502,199161,209622,219208,215149,219785,224419
数据来源：国家统计局
